issue,date,r1,r2,r3,r4,r5,r6,blue,sales,pool
03001,2003-02-23,10,11,12,13,26,28,11,10307806,2097070
03002,2003-02-27,4,9,19,20,21,26,12,7398870,8330621
03003,2003-03-02,1,7,10,23,28,32,16,8917960,9881677
03004,2003-03-06,4,6,7,10,13,25,3,9517794,11852729
03005,2003-03-09,4,6,15,17,30,31,16,10661438,14280829
03006,2003-03-13,1,3,10,21,26,27,6,10919658,16204682
03007,2003-03-16,1,9,19,21,23,26,7,12124030,12985898
03008,2003-03-20,5,8,9,14,17,23,8,11696278,13403319
03009,2003-03-23,5,9,18,20,22,30,9,12386072,13902044
03010,2003-03-27,1,2,8,13,17,24,13,12402130,10810274
03011,2003-03-30,4,5,11,12,30,32,15,12782494,12695728
03012,2003-04-03,2,12,16,17,27,30,12,12307262,9876408
03013,2003-04-06,8,13,17,21,23,32,12,12611880,13128993
03014,2003-04-10,3,5,7,8,21,31,2,12476130,15565779
03015,2003-04-13,4,11,19,25,26,32,13,13460134,18393824
03016,2003-04-17,11,17,28,30,31,33,6,13098324,22558622
03017,2003-04-20,5,8,18,23,25,31,6,14451270,25928966
03018,2003-04-24,5,16,19,20,25,28,13,14339392,29122692
03019,2003-04-27,4,8,12,13,16,33,9,15159580,31555212
03020,2003-05-01,7,10,25,26,27,32,4,14670860,8846550
03021,2003-05-04,14,15,18,25,26,30,1,13537342,7108391
03022,2003-05-08,2,7,11,12,14,32,8,13869188,9597935
03023,2003-05-11,1,10,20,22,26,31,2,15374822,8321908
03024,2003-05-15,2,7,15,17,22,30,14,15035104,10313559
03025,2003-05-18,1,5,11,13,14,27,12,16536260,8394596
03026,2003-05-22,8,13,15,26,29,31,16,16245314,11267818
03027,2003-05-25,1,11,14,17,27,28,15,17626250,9553276
03028,2003-05-29,6,13,16,20,28,32,7,17442014,7115273
03029,2003-06-01,2,7,15,26,29,32,10,17515374,3170231
03030,2003-06-05,2,6,13,14,23,27,7,16765384,7240631
03031,2003-06-08,11,17,20,22,28,32,1,18101608,11573486
03032,2003-06-12,4,11,25,27,29,30,13,20115568,15264588
03033,2003-06-15,1,7,14,20,27,30,10,22266754,20161441
03034,2003-06-19,8,13,14,16,23,25,14,22899946,24117797
03035,2003-06-22,3,4,5,8,10,11,8,25179768,28751013
03036,2003-06-26,7,21,24,25,27,28,15,25054376,28374435
03037,2003-06-29,9,14,17,18,26,32,7,26257640,19818362
03038,2003-07-03,5,7,8,24,25,27,16,26782590,17846466
03039,2003-07-06,3,5,23,24,27,32,3,27694202,18823695
03040,2003-07-10,4,5,6,12,14,23,16,27328054,19393421
03041,2003-07-13,2,3,17,18,24,25,11,28265402,8855427
03042,2003-07-17,3,5,7,10,15,20,7,26607702,8244457
03043,2003-07-20,2,8,10,19,20,32,13,27416990,12884963
03044,2003-07-24,2,5,9,16,32,33,15,26537776,18107421
03045,2003-07-27,3,7,14,15,17,32,3,26657064,24418051
03046,2003-07-31,7,8,10,11,17,26,11,27144542,30344002
03047,2003-08-03,3,17,26,28,32,33,16,28355638,21170406
03048,2003-08-07,10,12,20,28,30,31,9,27557888,21250495
03049,2003-08-10,3,6,7,13,24,25,15,27734490,21162598
03050,2003-08-14,2,8,17,23,24,26,13,28450710,3000000
03051,2003-08-17,4,13,15,17,24,27,1,24831800,8574843
03052,2003-08-21,1,12,13,23,30,31,11,28371758,12527152
03053,2003-08-24,15,19,20,21,28,29,13,29854724,19193731
03054,2003-08-28,2,5,9,21,31,33,12,29449334,20183598
03055,2003-08-31,6,13,16,21,28,31,16,29508178,23989902
03056,2003-09-04,8,17,21,26,28,29,7,32664536,22892844
03057,2003-09-07,18,19,24,25,30,31,16,32781224,24762391
03058,2003-09-11,9,11,16,28,32,33,2,31985104,31813344
03059,2003-09-14,2,3,5,6,18,30,4,33611668,39018764
03060,2003-09-18,2,4,6,17,21,28,11,35595266,44870316
03061,2003-09-21,3,5,20,21,28,32,2,38065358,53944234
03062,2003-09-25,1,6,12,19,20,32,14,40972030,61312881
03063,2003-09-28,5,8,9,14,21,33,11,45643734,71301051
03064,2003-10-02,4,6,8,12,15,30,1,40925392,80873748
03065,2003-10-05,6,15,16,17,30,33,11,41948818,86060981
03066,2003-10-09,3,7,8,20,24,32,14,45124280,93898014
03067,2003-10-12,5,11,12,13,27,31,10,48192830,85888068
03068,2003-10-16,9,19,25,27,32,33,11,46972102,85756772
03069,2003-10-19,7,11,16,19,26,28,11,45227392,97803661
03070,2003-10-23,1,2,4,17,18,19,8,48248338,100888955
03071,2003-10-26,9,11,12,14,15,33,11,55288802,105987271
03072,2003-10-30,3,6,8,11,19,27,11,63510334,96034020
03073,2003-11-02,2,12,14,21,23,30,13,57551772,100543175
03074,2003-11-06,2,12,19,22,27,32,1,59866792,96680954
03075,2003-11-09,16,17,19,22,31,33,11,52503898,94144383
03076,2003-11-13,1,13,16,18,20,29,2,58283200,107390751
03077,2003-11-16,4,12,16,22,24,25,6,59628070,112553918
03078,2003-11-20,7,12,23,26,29,30,11,61385292,108688617
03079,2003-11-23,12,15,22,23,26,31,4,61225192,109518597
03080,2003-11-27,9,20,24,25,28,30,10,61168028,104628920
03081,2003-11-30,1,2,14,26,29,30,7,62508530,93553782
